selected|authors|year|title|venue|link|pdf|dataset|code
1|Caso F., Fonio S., Saccomanno N., Monaco S., Silvestri F.|2025|Composable Sparse Subnetworks via Maximum-Entropy Principle|NeurIPS 2025 Workshop MechInterp|https://openreview.net/forum?id=Z0j9NJt08I|https://openreview.net/pdf?id=Z0j9NJt08I
1|Monaco S., Monaco L. et al.|2025|Uncertainty-aware methods for enhancing rainfall prediction with deep-learning based post-processing segmentation|Computers & Geosciences|https://www.sciencedirect.com/science/article/pii/S0098300425001426|sciencedirect.com/science/article/pii/S0098300425001426/pdfft?crasolve=1&r=978e05e19f6be898&ts=1756826757447&rtype=https&vrr=UKN&redir=UKN&redir_fr=UKN&redir_arc=UKN&vhash=UKN&host=d3d3LnNjaWVuY2VkaXJlY3QuY29t&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&re=X2JsYW5rXw%3D%3D&ns_h=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ns_e=X2JsYW5rXw%3D%3D&rh_fd=rrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejh&tsoh_fd=rrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejh&hc=~rrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejhwrrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejhwrrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejh&iv=2951c55952204ae55688ab8f9660946e&token=373033306665636539393137616336366233306337633337653564623063626633626662643263633138313039346532346663393635646432656132366138353431646634356339643637643035646430373430306637326535363438383036383739643463396134326131663936613166393232663566336237653a366638386630623762623732353531383763623534346133&text=0e682d2f2c52d9202bf79d9d492e2b8c985ad033a658191669d4f8ef83d85f66ac13067ab02383c69c89c9633349d5a3e0952a2081464e3fc8a0d19c050cd280317eade5ad4adf3f4911204b2c2e86ac92f1a40b0b4f854138e0c620c1c2bbba3752fbef0cc416f0629f81b046bd74d68b2ccc6d6f458023f613987bad07bba7d65f16c8f1443522c30243c84b74f5257ba34092950917156ad47dacd92a462bf9c36ce7e3b94c0c1f19907ad7ed42027a5cb2739eb38d1c14ea21bd7c5ddc462b7c9b982556e707fadfd0e81be524bc65a6b5b674d73917111024b9206dbebe7b2ad9d44be142126571082384669d4d1b158a248f3b9c9dd881333cca66e1c478897ab809658598adab6194ea2cc8ae322d38b96bb685973b1858a03a077b8d09e6605c8db1398adbf3d6099024e839&original=3f6d64353d6133613530633062616230303235363736346666383963636163386636323030267069643d312d73322e302d53303039383330303432353030313432362d6d61696e2e706466&chkp=1c&rack=978e05e19f6be898||
1|Monaco S., Monaco L. et al.|2025|Quantify production planning efficiency through predictive modeling in manufacturing systems|Computers & Geosciences|https://www.sciencedirect.com/science/article/pii/S0098300425001426|sciencedirect.com/science/article/pii/S0098300425001426/pdfft?crasolve=1&r=978e05e19f6be898&ts=1756826757447&rtype=https&vrr=UKN&redir=UKN&redir_fr=UKN&redir_arc=UKN&vhash=UKN&host=d3d3LnNjaWVuY2VkaXJlY3QuY29t&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&re=X2JsYW5rXw%3D%3D&ns_h=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ns_e=X2JsYW5rXw%3D%3D&rh_fd=rrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejh&tsoh_fd=rrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejh&hc=~rrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejhwrrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejhwrrr)n%5Ed%60i%5E%60_dm%60%5Eo)%5Ejh&iv=2951c55952204ae55688ab8f9660946e&token=373033306665636539393137616336366233306337633337653564623063626633626662643263633138313039346532346663393635646432656132366138353431646634356339643637643035646430373430306637326535363438383036383739643463396134326131663936613166393232663566336237653a366638386630623762623732353531383763623534346133&text=0e682d2f2c52d9202bf79d9d492e2b8c985ad033a658191669d4f8ef83d85f66ac13067ab02383c69c89c9633349d5a3e0952a2081464e3fc8a0d19c050cd280317eade5ad4adf3f4911204b2c2e86ac92f1a40b0b4f854138e0c620c1c2bbba3752fbef0cc416f0629f81b046bd74d68b2ccc6d6f458023f613987bad07bba7d65f16c8f1443522c30243c84b74f5257ba34092950917156ad47dacd92a462bf9c36ce7e3b94c0c1f19907ad7ed42027a5cb2739eb38d1c14ea21bd7c5ddc462b7c9b982556e707fadfd0e81be524bc65a6b5b674d73917111024b9206dbebe7b2ad9d44be142126571082384669d4d1b158a248f3b9c9dd881333cca66e1c478897ab809658598adab6194ea2cc8ae322d38b96bb685973b1858a03a077b8d09e6605c8db1398adbf3d6099024e839&original=3f6d64353d6133613530633062616230303235363736346666383963636163386636323030267069643d312d73322e302d53303039383330303432353030313432362d6d61696e2e706466&chkp=1c&rack=978e05e19f6be898||
1|Monaco S., Petrosino L., Xinaris C., Apiletti D.|2024|Tandem: a Confidence-based Approach for Precise Medical Image Segmentation|Computers & Industrial Engineering|https://www.sciencedirect.com/science/article/pii/S0360835225000658|https://pdf.sciencedirectassets.com/craft/capi/cfts/init?s=1800&p=%2F271420%2F1-s2.0-S0360835224X00145%2F1-s2.0-S0360835225000658%2Fmain.pdf&q=X-Amz-Security-Token%3DIQoJb3JpZ2luX2VjEMf%252F%252F%252F%252F%252F%252F%252F%252F%252F%252FwEaCXVzLWVhc3QtMSJGMEQCIDMSgRZ5IQnoOiMxEDB6Q4ToWf5rBZPtI8yiIh%252BDhTOZAiB2EaNaFfKF8XFGqrFPHyPUdnJMMw7bFir1iIWZA%252F%252F8nSqzBQgvEAUaDDA1OTAwMzU0Njg2NSIMXJUIOpc8PY85j1gKKpAF1A0k9icCZarVC%252FlDJK6dC2AsRGc1WMhLLAvbt7qig0zb6H445zqZwuWfZ4GSJpJ%252FEn4vt4MsD6DRiaOosrhNNQOePdPZm0u%252Bk0ibsLat5EfmOR%252BcSUJ06REFS2tLL6po121YMakiu8q28FMW%252BZEaow9M5wMwg9WtRNHLaPmaNMYXcpl%252BaRiEH9G8yoKibjcoTTefL2xQFY%252B1MisWlppRIE7JyvoyReM1qybvFc2kuiVsGsUTN1hx%252Fq9F6uS4HWf7wKVkngby6JmH%252FRh1eSWIkquGEqsOSGaAjx0RdJgbIEskE%252BwcoyGwSO6esN5M%252B29AHBJA7qbBEG8SmgKBve95waod7SxXFn%252FREQcw0z0U%252BGXz14so80%252Fn0IYjk2KuRhkKzKD%252BS65Qcj5kwG8QcEeXQHaNEee6aGEYJL%252F1n%252BQy1rRk4yC4MOPXvaaVrmBP2lRFR2d2O2PYRZx83yIOlBKOSNt2IsXPjJ1G%252BflHSlBvscavqHKvTrqWfL96U9K4VB5KVcuyV3tF%252FMLMgg6l0PD3ADIw5%252Fs4GTCeYw7%252BZYFZDxwIfrxlmLjFmQw7Xklcce0HB7QUJhotxj4hb%252BsXVARVn2U%252BWmBPfsVH5DRv3tH%252FpbCW77KEtoFmqLuqGwdssPndaZKvZwzl%252BYj4Qzcwy2Zr9QV82gs%252FOjz8trhVaJih%252F5ghy71dFH3VMG7XRpPHRloGtTpab1SOwcEwjLmiDGI2dHRvS9EWHwL7%252FLDMBy89V997t9WH7pz8ANd9ylXC4To%252FAa%252BTx61sQKhMd024iQanlGJHg2BnRAD5gTFD82YWeKMatWk7ZruQxEmKUGWp4HWIoUtEhhx3nbTSC5aXCBdR31pGExwno%252BdaKEf93Cbkcrsw2vbbxQY6sgHr7Yl8qhOacGEplbSXQIXJBju%252BHXKCt%252B08VPCPIvsWnxCrD%252FSUjoCp%252BeQgBbgrWH3vivH8Exqne3Zm6CTY6O3x7J2d10IB3WMvrKs5xY2%252F%252BPXk5SkrKeCgXxyCQVrQbPdJ6GmSherZyCl6UZsUqmln33hwxD5sO2o4bDXpaelCPRjfvLgKRABAOeqDyeDRXuzhtItU%252FjCQ1TOulHntyRCPF5jyiN%252BeIiWG4F%252Fl%252FYNIrRJP%26X-Amz-Algorithm%3DAWS4-HMAC-SHA256%26X-Amz-Date%3D20250902T152901Z%26X-Amz-SignedHeaders%3Dhost%26X-Amz-Expires%3D300%26X-Amz-Credential%3DASIAQ3PHCVTYXGMBCPJW%252F20250902%252Fus-east-1%252Fs3%252Faws4_request%26X-Amz-Signature%3D498837b8894d95c89af8b47db08ba61d99733a74c31d2159a9f6820554cf48b3%26hash%3D46179dd361410a08314351a52fb86d710bed065eb60d3c9536e0abedbe9eeb1a%26host%3D68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61%26pii%3DS0360835225000658%26tid%3Dspdf-c620d642-fb25-42ea-92fe-a1399dbbfa90%26sid%3D64ee489920fd184c4d1ae5868c3909ea2685gxrqb%26type%3Dclient%26tsoh%3Dd3d3LnNjaWVuY2VkaXJlY3QuY29t%26rh%3Dd3d3LnNjaWVuY2VkaXJlY3QuY29t%26ua%3D131b57515f0256015609%26rr%3D978e0a5f9849e898%26cc%3Dit&i=2025-09-02T15%3A29%3A08.614Z&c=spdf-no-referer&r=978e0a8ca866ee93&u=aHR0cHM6Ly93d3cuc2NpZW5jZWRpcmVjdC5jb20vc2NpZW5jZS9hcnRpY2xlL3BpaS9TMDM2MDgzNTIyNTAwMDY1OA%3D%3D&w=interactive&h=eyJrZXkiOiJLS1lMaGpwZzNib3U1UDA4andZcVd1OUFwK0laemlkMjBVcnNId08wWWdraTBYbmJ1Q2RyMURucHlHR3lweHN3Mmp3c1RvSlNrbnBpRTcxS2MwYUtqcTJjd3lTWURLdldCT1JvbWdjb3NjWT0iLCJpdiI6Ijg1MjNmYzBlZTMxODJhNzJiMmE4NWVhYTliZTkxYWQ3In0%3D#page=1.00&gsr=0||
1|Monaco S., Bussola N., Buttò S. et al.|2024|AI models for automated segmentation of engineered polycystic kidney tubules|Nature Scientific reports|https://www.nature.com/articles/s41598-024-52677-1|https://www.nature.com/articles/s41598-024-52677-1.pdf||https://github.com/simone7monaco/auto-cysts-segmentation
1|Monaco S., Barresi S., Apiletti D.|2023|Lorentz-invariant augmentation for high-energy physics deep learning models|ECML-PKDD Workshops proceedings||||
1|Monaco S., Apiletti D.|2023|Training Physics-Informed Neural Networks: one learning to rule them all|Results in Engineering|https://www.sciencedirect.com/science/article/pii/S2590123023001500|https://www.sciencedirect.com/science/article/pii/S2590123023001500/pdfft?isDTMRedir=true&download=true||https://github.com/simone7monaco/PINNTrainingStrategies
0|Monaco S., Apiletti D., Malnati G.|2022|Theory-Guided Deep Learning Algorithms: An Experimental Evaluation|MDPI Electronics|https://www.mdpi.com/2079-9292/11/18/2850|https://www.mdpi.com/2079-9292/11/18/2850/pdf?version=1662711483||https://github.com/simone7monaco/theoryGalgorithms
1|Colomba L., Farasin A., Monaco S. et al.|2022|A Dataset for Burned Area Delineation and Severity Estimation from Satellite Imagery|31st ACM International Conference on Information & Knowledge Management (CIKM)|https://dl.acm.org/doi/10.1145/3511808.3557528|https://dl.acm.org/doi/pdf/10.1145/3511808.3557528|https://zenodo.org/records/6597139|
0|Monaco S., Bussola N., Buttò S., Sona D., Apiletti D. et al.|2021|Cyst segmentation on kidney tubules by means of U-Net deep-learning models|IEEE International Conference on Big Data (Big Data)|https://ieeexplore.ieee.org/document/9671669|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671669&casa_token=C3WDkPPFv2YAAAAA:J16tuLqhEZO9YmCGcOOBlvnkeujBUbfhTcOTEEfgXala89oF9Ru7NNjMEplQAvMrb5VvWdDA&tag=1||
